A-1	A
CIDOZOLE-1183	Ácido Zoledrónico Altan
CIDOZOLE-1184	Ácido Zoledrónico Basi
CIDOZOLE-1185	Ácido Zoledrónico Bluepharma
CIDOZOLE-1186	Ácido Zoledrónico Ciclum
CIDOZOLE-1187	Ácido Zoledrónico Farmoz
ACIDOZOL-1188	Acido Zoledronico Fresenius Kabi
CIDOZOLE-1189	Ácido Zoledrónico Fresenius Kabi
ACIDOZOL-1190	Acido Zoledronico Galenica Senese
CIDOZOLE-1191	Ácido Zoledrónico Generis
ACIDOZOL-1192	Acido Zoledronico Hikma
CIDOZOLE-1193	Ácido Zoledrónico Hikma
CIDOZOLE-1194	Ácido Zoledronico Kabi
CIDOZOLE-1195	Ácido Zoledrónico Kern Pharma
CIDOZOLE-1196	Ácido Zoledrónico Normon
ACIDOZOL-1197	Acido Zoledronico Seacross
ACIDOZOL-1198	Acido Zoledrónico Seacross
CIDOZOLE-1199	Ácido Zoledrónico Seacross
ACIDOZOL-1200	Acido Zoledronico Tillomed
CIDOZOLE-1201	Ácido Zoledrónico Tillomed
CIDOZOLE-1202	Ácido Zoledrónico Zentiva
CIDOSOME-1203	Ácidos Omega 3 Kern Pharma
CIDOSOME-1204	Ácidos Omega 3 Tarbis
CIDOSOME-1205	Ácidos Omega-3 Strides
ACIDUMAK-1206	Acidum A-Ketoglutaricum-Injeel
ACIDUMAS-1207	Acidum Ascorbicum Bbp
ACIDUMCI-1208	Acidum Cis-Aconiticum-Injeel
ACIDUMCI-1209	Acidum Citricum-Injeel
ACIDUMDL-1210	Acidum Dl-Malicum-Injeel
ACIDUMFO-1211	Acidum Folicum Hasco
ACIDUMFO-1212	Acidum Folicum Léčiva
ACIDUMFO-1213	Acidum Folicum Richter
ACIDUMFO-1214	Acidum Formicicum-Injeel
ACIDUMFU-1215	Acidum Fumaricum-Injeel
ACIDUMNI-1216	Acidum Nicotinicum Vasc
ACIDUMPH-1217	Acidum Phosphoricum-Injeel S
ACIDUMSU-1218	Acidum Succinicum-Injeel Biologische Heilmittel Heel
ACIDUMPH-1219	Acidumphos-Gastreu R40
ACIDWELL-1220	Acidwell
ACIFEIN-1221	Acifein
ACIFER-1222	Acifer
ACIFOL-1223	Acifol
ACIKLOVI-1224	Aciklovir Abece
ACIKLOVI-1225	Aciklovir Accord
ACIKLOVI-1226	Aciklovir Alpha-Medical
ACIKLOVI-1227	Aciklovir Noridem
ACIKLOVI-1228	Aciklovir Stada
ACILESOL-1229	Acilesol
ACIMAPHI-1230	Acimaphin
ACIMETHI-1231	Acimethin
ACIMOL-1232	Acimol
ACINIC-1233	Acinic
ACINORPH-1234	Acinorphin
ACIPAN-1235	Acipan
ACIPANCO-1236	Acipan Control
ACIPANS-1237	Acipan S
ACIPENV-1238	Acipen-V
ACIPHEN-1239	Aciphen
ACIPIRIN-1240	Acipirin
ACIPREX-1241	Aciprex
ACIRASI-1242	Acirasi
ACIRYL-1243	Aciryl
ACITREN-1244	Acitren
ACITRETI-1245	Acitretin Aurobindo
ACITRETI-1246	Acitretin Genus Pharmaceuticals
ACITRETI-1247	Acitretin Morningside Healthcare
ACITRETI-1248	Acitretin Orifarm
ACITRETI-1249	Acitretina Ifc
ACITRETI-1250	Acitretine Cf
ACITRETI-1251	Acitretine Ifc
ACIVIR-1252	Acivir
ACIVISIO-1253	Acivision
ACIX-1254	Acix
ACIZAL-1255	Acizal
ACKLAB-1256	Acklab
ACLASTA-1257	Aclasta
ACLATON-1258	Aclaton
ACLEXA-1259	Aclexa
ACLONIA-1260	Aclonia
ACLOP-1261	Aclop
ACLOTIN-1262	Aclotin
ACLOTINE-1263	Aclotine
ACLOVIR-1264	Aclovir
ACLOVIRR-1265	Aclovir Ratiopharm
ACMEFRON-1266	Acmefront
ACMOTREN-1267	Acmotren
ACNAPALE-1268	Acnapalen
ACNAPALE-1269	Acnapalen Forte
ACNATAC-1270	Acnatac
ACNEHERM-1271	Acne Hermal
ACNEPLUS-1272	Acne Plus
ACNECARE-1273	Acnecare
ACNECIDE-1274	Acnecide
ACNECIDE-1275	Acnecide Face
ACNECIDE-1276	Acnecide Face Wash
ACNECIDE-1277	Acnecide Wash
ACNECUTA-1278	Acnecutan
ACNELEC-1279	Acnelec
ACNEMEDC-1280	Acnemed Clear
ACNEMEDS-1281	Acnemed Skin Wash
ACNEMIN1-1282	Acnemin 10 Mg
ACNEMIN2-1283	Acnemin 20 Mg
ACNENOR-1284	Acnenor
ACNEPLUS-1285	Acneplus
ACNERYZC-1286	Acneryz-Cure
ACNESYN-1287	Acnesyn
ACNETRAI-1288	Acnetrait
ACNEVUL-1289	Acnevul
ACNIDUO-1290	Acniduo
ACNISDIN-1291	Acnisdin
ACNOTREN-1292	A-Cnotren
ACOACNEG-1293	Aco Acnegel
ACOACNEL-1294	Aco Acnelösning
ACOCYNTH-1295	Acocynthis Gastreu R71
ACOCYNTH-1296	Acocynthis-Gastreu R 71 Injekt
ACOCYNTH-1297	Acocynthis-Gastreu R71
ACODIN-1298	Acodin
ACODIN15-1299	Acodin 150 Junior
ACODINDU-1300	Acodin Duo
ACODORON-1301	Acodoron
ACOIN-1302	Acoin
ACOLORA-1303	Acolora
ACOMICIL-1304	Acomicil
ACONEX-1305	Aconex
ACONIT-1306	Aconit
ACONITSC-1307	Aconit Schmerzöl
ACONITUM-1308	Aconitum Comp.
ACONITUM-1309	Aconitum E Tubere W 5%
ACONITUM-1310	Aconitum Napellus Rh Weleda
ACONITUM-1311	Aconitum Pentarkan
ACONITUM-1312	Aconitum/China Comp.
ACONITUM-1313	Aconitum-Homaccord
ACOPAIR-1314	Acopair
ACORE-1315	Acore
ACORSPRA-1316	Acorspray
ACOVIL-1317	Acovil
ACOXXEL-1318	Acoxxel
ACQ100-1319	A-Cq 100
ACQUAPER-1320	Acqua Per Preparazioni Iniettabil Baxter
ACQUAPER-1321	Acqua Per Preparazioni Iniettabili – Piccoli Volumi Monico
ACQUAPER-1322	Acqua Per Preparazioni Iniettabili B. Braun
ACQUAPER-1323	Acqua Per Preparazioni Iniettabili Baxter
ACQUAPER-1324	Acqua Per Preparazioni Iniettabili Bioindustria L.I.M.
ACQUAPER-1325	Acqua Per Preparazioni Iniettabili Diaco
ACQUAPER-1326	Acqua Per Preparazioni Iniettabili Eurospital
ACQUAPER-1327	Acqua Per Preparazioni Iniettabili Fisiopharma
ACQUAPER-1328	Acqua Per Preparazioni Iniettabili Fresenius Kabi Italia
ACQUAPER-1329	Acqua Per Preparazioni Iniettabili Galenica Senese
ACQUAPER-1330	Acqua Per Preparazioni Iniettabili Monico
ACQUAPER-1331	Acqua Per Preparazioni Iniettabili Noridem
ACQUAPER-1332	Acqua Per Preparazioni Iniettabili S.A.L.F
ACQUAPER-1333	Acqua Per Preparazioni Iniettabili S.A.L.F.
ACRELSEM-1334	Acrel Semanal
ACRIFLEX-1335	Acriflex
ACRISEU-1336	Acriseu
ACRIVAST-1337	Acrivastine Brown & Burk Uk
ACTACILL-1338	Actacillin
ACTAIR-1339	Actair
ACTALIDE-1340	Actalide
ACTAMONE-1341	Actamone
ACTELSAR-1342	Actelsar
ACTELSAR-1343	Actelsar Duo
ACTELSAR-1344	Actelsar Hct
ACTHEANE-1345	Actheane
ACTHIB-1346	Act-Hib
ACTHIBHI-1347	Act-Hib (Hib)
ACTIBON-1348	Actibon
ACTICARB-1349	Acticarbine
ACTIDOX-1350	Actidox
ACTIFED-1351	Actifed
ACTIFEDC-1352	Actifed Composto
ACTIFEDD-1353	Actifed Decongestionante
ACTIFEDD-1354	Actifed Descongestionante Sem Conservantes
ACTIFEDK-1355	Actifed Kid
ACTIFEDR-1356	Actifed Rhume
ACTIFEDR-1357	Actifed Rhume Jour Et Nuit
ACTIGRA-1358	Actigra
ACTIGRAF-1359	Actigra Forte
ACTIGRIP-1360	Actigrip
ACTIGRIP-1361	Actigrip Giorno & Notte
ACTIGRIP-1362	Actigrip Tosse Mucolitico "gusto Mentolo”
ACTIKER-1363	Actiker
ACTIKERA-1364	Actikerall
ACTILAMP-1365	Actilam Per-Os
ACTILAX-1366	Actilax
ACTILOGI-1367	Actilogic
ACTILYSE-1368	Actilyse
ACTILYSE-1369	Actilyse 10
ACTILYSE-1370	Actilyse 20
ACTILYSE-1371	Actilyse 50
ACTILYSE-1372	Actilyse Cathflo
ACTIMAG-1373	Actimag
ACTIMODA-1374	Actimodan
ACTIMORP-1375	Actimorph
ACTINE-1376	Actine
ACTIPROF-1377	Actiprofen
ACTIQ-1378	Actiq
ACTIRA-1379	Actira
ACTISEPT-1380	Actisept Med
ACTISINU-1381	Actisinu
ACTISKEN-1382	Actiskenan
ACTISOUF-1383	Actisoufre
ACTITHIO-1384	Actithiol Mucolítico Antihistamínico
ACTITHIO-1385	Actithiol Mucolítico Infantil
ACTITRIN-1386	Acti-Trin
ACTIVALE-1387	Actival Extra
ACTIVALE-1388	Actival Extra Magnézium
ACTIVALJ-1389	Actival Junior
ACTIVALS-1390	Actival Senior
ACTIVALS-1391	Actival Senior Plusz
ACTIVATE-1392	Activated Charcoal Teva Uk Limited
ACTIVELL-1393	Activelle
ACTIVELL-1394	Activelle Low
ACTIVELL-1395	Activelle Minor
ACTIVIR-1396	Activir
ACTIVIRF-1397	Activir - Fieberblasen
ACTIVIRD-1398	Activir Duo
ACTIVON-1399	Activon
ACTIVOXR-1400	Activox Rhume
ACTOCORT-1401	Actocortina
ACTOKITD-1402	Actokit D, Combinatieverpakking
ACTOKITC-1403	Actokit, Combinatieverpakking
ACTONEL-1404	Actonel
ACTONELC-1405	Actonel  Combi D
ACTONEL2-1406	Actonel «2 Συνεχόμενεσ Ημέρεσ Το Μήνα»
ACTONELC-1407	Actonel Combi
ACTONELC-1408	Actonel Combi D
ACTONELE-1409	Actonel Einmal Wöchentlich
ACTONELG-1410	Actonel Gr
ACTONELH-1411	Actonel Hebdomadaire
ACTONELO-1412	Actonel Oaw/«μία Φορά Την Εβδομάδα»
ACTONELO-1413	Actonel Once A Week
ACTONELP-1414	Actonel Plus Calcium
ACTONELP-1415	Actonel Plus Calcium D
ACTONELS-1416	Actonel Semanal
ACTONELW-1417	Actonel Wekelijks
ACTONELW-1418	Actonel Wöchentlich
ACTONELC-1419	Actonelcombi
ACTONORM-1420	Actonorm
ACTOS-1421	Actos
ACTOSOLV-1422	Actosolv
ACTOVEGI-1423	Actovegin
ACTOVEGI-1424	Actovegin Forte
ACTOWILL-1425	Actowill
ACTRAPHA-1426	Actraphane 30
ACTRAPHA-1427	Actraphane 30 Flexpen
ACTRAPHA-1428	Actraphane 30 Innolet
ACTRAPHA-1429	Actraphane 30 Penfill
ACTRAPHA-1430	Actraphane 50 Penfill
ACTRAPID-1431	Actrapid
ACTRAPID-1432	Actrapid Flexpen
ACTRAPID-1433	Actrapid Innolet
ACTRAPID-1434	Actrapid Penfill
ACTROMAD-1435	Actromadol
ACTRON-1436	Actron
ACTRONCO-1437	Actron Compuesto
ACTRONAD-1438	Actronadol
ACTATOS-1439	Actúatos
ACTUSEPT-1440	Actusept
ACTYNOX-1441	Actynox
ACUILIX-1442	Acuilix
ACUITEL-1443	Acuitel
ACULAR-1444	Acular
ACULARE-1445	Aculare
ACUMORXL-1446	Acumor  Xl
ACUOLENS-1447	Acuolens
ACUPAN-1448	Acupan
ACURENAL-1449	Acurenal
ACURMIL-1450	Acurmil
ACUSPOT-1451	Acuspot
ACUTEDIA-1452	Acute Diarrhoea Relief
ACVYBRA-1453	Acvybra
ACY-1454	Acy
ACYCLOST-1455	Acyclostad
ACYCLOVI-1456	Acyclovir Biofarm
ACYCLOVI-1457	Acyclovir Denk
ACYCLOVI-1458	Acyclovir Stada
ACYKLOWI-1459	Acyklowir Promedo
ACYLCOFF-1460	Acylcoffin
ACYLINE-1461	Acyline
ACYLPYRI-1462	Acylpyrin
ACYLPYRI-1463	Acylpyrin + C
ACYLPYRI-1464	Acylpyrin Effervescens
ACYRAX-1465	Acyrax
ADABENCU-1466	Adabencutan
ADABLIX-1467	Adablix
ADABLOK-1468	Adablok
ADABONIB-1469	Adabonib
ADACEL-1470	Adacel
ADACELPO-1471	Adacel Polio
ADADOX-1472	Adadox
ADADUT-1473	Adadut
ADAFERIN-1474	Adaferin
ADAFLEX-1475	Adaflex
ADAGIN-1476	Adagin
ADAGINFO-1477	Adagin Forte
ADAGLIP-1478	Adaglip
ADAGREL-1479	Adagrel
ADALAIN-1480	Adalain
ADALATCR-1481	Adalat Cr
ADALATCR-1482	Adalat Crono
ADALATLA-1483	Adalat La
ADALATOR-1484	Adalat Oros
ADALGUR-1485	Adalgur
ADALGURN-1486	Adalgur N
ADALIFT-1487	Adalift
ADALINA-1488	Adalina
ADALUZIS-1489	Adaluzis
ADAMON-1490	Adamon
ADAMONIN-1491	Adamon Inject
ADAMONKA-1492	Adamon Kaps
ADAMONSR-1493	Adamon Sr
ADAMONTR-1494	Adamon Tropfen
ADANIFXL-1495	Adanif Xl
ADAPABEN-1496	Adapaben
ADAPABEN-1497	Adapaben Forte
ADAPALEE-1498	Adapaleen/ Benzoylperoxide Galen
ADAPALEE-1499	Adapaleen/Benzoylperoxid Aristo
ADAPALEE-1500	Adapaleen/Benzoylperoxide Glenmark
ADAPALEE-1501	Adapaleen/Benzoylperoxide Klinge
ADAPALEE-1502	Adapaleen/Benzoylperoxide Polpharma
ADAPALEE-1503	Adapaleen/Benzoylperoxide Stada
ADAPALEE-1504	Adapaleen/Benzoylperoxide Zentiva
ADAPALEN-1505	Adapalen/Bensoylperoxid Adalvo
ADAPALEN-1506	Adapalen/Benzoylperoxid Al
ADAPALEN-1507	Adapalen/Benzoylperoxid Glenmark
ADAPALEN-1508	Adapalen/Benzoylperoxid Zentiva
ADAPALEN-1509	Adapalene / Benzoyl Peroxide Perennial Pharma
ADAPALEN-1510	Adapalene + Benzoyl Peroxide Laboratoires Medgen
ADAPALEN-1511	Adapalene + Benzoyl Peroxide Teva Uk
ADAPALEN-1512	Adapalene Teva
ADAPALEN-1513	Adapalene Zentiva
ADAPALEN-1514	Adapalene/Benzoile Perossido Medgen
ADAPALEN-1515	Adapalene/Benzoyl Peroxid Aristo
ADAPALEN-1516	Adapalene/Benzoyl Peroxide
ADAPALEN-1517	Adapalene/Benzoyl Peroxide Altair Science
ADAPALEN-1518	Adapalene/Benzoyl Peroxide Aristo
ADAPALEN-1519	Adapalene/Benzoyl Peroxide Glenmark Pharmaceuticals Europe
ADAPALEN-1520	Adapalene/Benzoyl Peroxide Orifarm
ADAPALEN-1521	Adapalene/Benzoyl Peroxide Penlan Pharmaceuticals
ADAPALEN-1522	Adapalene/Benzoyl Peroxide Stada
ADAPALEN-1523	Adapalene/Benzoyl Peroxide Zentiva
ADAPALEN-1524	Adapalene/Benzoyl Peroxide Zydus
ADAPALEN-1525	Adapalene/Peroxyde De Benzoyle Bailleul
ADAPALEN-1526	Adapalene/Peroxyde De Benzoyle Zentiva
ADAPTOL-1527	Adaptol
ADAPTOND-1528	Adapton D
ADAPTOPL-1529	Adaptoplast
ADAPTOPL-1530	Adaptoplast Callous Caps
ADAPTOPL-1531	Adaptoplex
ADAPTUS-1532	Adaptus
ADARING-1533	Adaring
ADAROSTI-1534	Adarostin
ADARTREL-1535	Adartrel
ADASTER-1536	Adaster
ADASUVE-1537	Adasuve
ADATAM-1538	Adatam
ADATAMXR-1539	Adatam Xr
ADAVANTI-1540	Adavantis
ADAWELL-1541	Adawell
ADAWELLF-1542	Adawell Forte
ADAXOR-1543	Adaxor
ADCAL-1544	Adcal
ADCALD3-1545	Adcal-D3
ADCALD3C-1546	Adcal-D3 Caplets
ADCALD3D-1547	Adcal-D3 Dissolve
ADCALD3L-1548	Adcal-D3® Lemon
ADCETRIS-1549	Adcetris
ADCIRCA-1550	Adcirca
ADDAMEL-1551	Addamel
ADDAMELN-1552	Addamel N
ADDAMELN-1553	Addamel-N ® New
ADDAMELN-1554	Addamel-N New
ADDAVEN-1555	Addaven
ADDELJUN-1556	Addel Junior
ADDELTRA-1557	Addel Trace
ADDENS-1558	Addens
ADDENSKA-1559	Addens-Kaliumklorid B. Braun
ADDEPTAX-1560	Addepta Xl
ADDEX-1561	Addex
ADDEXKAL-1562	Addex Kaliumklorid
ADDEXMAG-1563	Addex Magnesium
ADDEXMAG-1564	Addex Magnesiumsulfaatti
ADDEXNAT-1565	Addex Natriumklorid
ADDEXAMM-1566	Addex-Ammoniumklorid
ADDEXKAL-1567	Addex-Kalium
ADDEXKAL-1568	Addex-Kaliumklorid
ADDEXMAG-1569	Addex-Magnesium
ADDEXMAG-1570	Addex-Magnesiumsulfaatti
ADDEXNAT-1571	Addex-Natriumklorid
ADDEXTHA-1572	Addex-Tham
ADDICORT-1573	Addicort
ADDIPHOS-1574	Addiphos
ADDITIVA-1575	Additiva Vitamin C
ADDITIVA-1576	Additiva Vitamin C 1000 Mg
ADDITIVA-1577	Additiva Vitamin C Blutorange
ADDITIVA-1578	Additiva Vitamin C Zitrone
ADDITRAC-1579	Additrace N
ADDNOK-1580	Addnok
ADDOFIX-1581	Addofix
ADEFOCIN-1582	Adefocin
ADEHADER-1583	Adehader
ADEKSA-1584	Adeksa
ADELCORT-1585	Adelcort®
ADELE-1586	Adele
ADELONE-1587	Adelone
ADEMPAS-1588	Adempas
ADENOCOR-1589	Adenocor
ADENOLIN-1590	Adenolin-Entoxin Nn
ADENORYT-1591	Adenorythm
ADENOSCA-1592	Adenoscan
ADENOSIN-1593	Adenosin Altamedics
ADENOSIN-1594	Adenosin Baxter
ADENOSIN-1595	Adenosin Evolan
ADENOSIN-1596	Adenosin Fresenius Kabi
ADENOSIN-1597	Adenosin Hikma
ADENOSIN-1598	Adenosin Life Medical
ADENOSIN-1599	Adenosin Macure
ADENOSIN-1600	Adenosin Rotop
ADENOSIN-1601	Adenosina Baxter
ADENOSIN-1602	Adenosina Hikma
ADENOSIN-1603	Adenosina Kabi
ADENOSIN-1604	Adenosine
ADENOSIN-1605	Adenosine Baxter
ADENOSIN-1606	Adenosine Baxter Healthcare
ADENOSIN-1607	Adenosine Focus Pharmaceuticals Ltd
ADENOSIN-1608	Adenosine Fresenius Kabi
ADENOSIN-1609	Adenosine Fresenius Kabi Deutschland
ADENOSIN-1610	Adenosine Hikma
ADENOSIN-1611	Adenosine Hikma Farmacêutica (Portugal)
ADENOSIN-1612	Adenosine Life Medical
ADENOSIN-1613	Adenosine Medisol
ADENOSIN-1614	Adenosine Wockhardt Uk
ADENOSIN-1615	Adenosintriphosphat (Atp)-Injeel Forte
ADENURIC-1616	Adenuric
ADEPAL-1617	Adepal
ADEPEND-1618	Adepend
ADEPRENA-1619	Adeprenal
ADEPRIL-1620	Adepril
ADEPSLAN-1621	Adeps Lanae Smartpractice Europe
ADEROLIO-1622	Aderolio
ADERVIA-1623	Adervia
ADESITRI-1624	Adesitrin
ADESLIM-1625	Adeslim
ADEXA-1626	Adexa
ADEXORMR-1627	Adexor Mr
ADEXORPR-1628	Adexor Prolong
ADHESA-1629	Adhesa
ADHESA5M-1630	Adhesa 5 Mg Tabletter
ADHESA5M-1631	Adhesa 5 Mg Tabletti
ADHOC-1632	Adhoc
ADIABIN-1633	Adiabin
ADIAVAL-1634	Adiaval
ADIAZINE-1635	Adiazine
ADICANIL-1636	Adicanil
ADICLAIR-1637	Adiclair
ADIENOCA-1638	Adienocare
ADIERIS-1639	Adieris
ADIERISD-1640	Adieris Diario
ADIFEMU-1641	Adifemu
ADIFEN-1642	Adifen
ADIFEN10-1643	Adifen 10mg
ADIMET-1644	Adimet
ADIMETXR-1645	Adimet Xr
ADIMUPLA-1646	Adimuplan
ADIN-1647	Adin
ADIPINE-1648	Adipine
ADIPINEX-1649	Adipine Xl
ADIRO-1650	Adiro
ADISOCOL-1651	Adisocol
ADIUNAST-1652	Adiunastrol
ADIXEMIN-1653	Adixemin
ADIZEMSR-1654	Adizem-Sr
ADIZEMXL-1655	Adizem-Xl
ADJUPANR-1656	Adjupanrix
ADJUVIN-1657	Adjuvin
ADLERHOM-1658	Adler Hom Yvoazem
ADLERHOM-1659	Adler Hom Yvodont
ADLERHOM-1660	Adler Hom Yvoflip
ADLERHOM-1661	Adler Hom Yvosniff
ADLERHOM-1662	Adler Hom Yvosting
ADLERHOM-1663	Adler Hom Yvotour
ADMIRAL-1664	Admiral
ADNAMIL-1665	Adnamil
ADOBEN-1666	Adoben
ADOBIL-1667	Adobil
ADOLSPAG-1668	Adol Spag.
ADOLAX-1669	Adolax
ADOLDEX-1670	Adoldex
ADOLEF-1671	Adolef
ADOLFJUS-1672	Adolf Just Heilerde Ultrafein
ADOLFJUS-1673	Adolf Just Ultrafein
ADOLFJUS-1674	Adolf Justs
ADOLFJUS-1675	Adolf Justs Luvos
ADOLFJUS-1676	Adolf Justs Luvos Heilerde
ADOLFJUS-1677	Adolf Justs Mikrofein Durchfall
ADOLOMED-1678	Adolomed
ADOLONTA-1679	Adolonta
ADOLONTA-1680	Adolonta Retard
ADOLOR-1681	Adolor
ADOLORIN-1682	Adolorin Ibuforte Direkt
ADOLORIN-1683	Adolorin Ibuforte Express
ADOLORIN-1684	Adolorini Direkt
ADOLQUIR-1685	Adolquir Efg
ADONISCO-1686	Adonis Comp.
ADONISKO-1687	Adonis-Komplex L Ho-Fu-Complex
ADOPORT-1688	Adoport
ADORMA-1689	Adorma
ADOVIA-1690	Adovia
ADPORT-1691	Adport
ADPORT-1692	Adport,
ADREKAR-1693	Adrekar
ADRENALI-1694	Adrenalin Aguettant
ADRENALI-1695	Adrenalin Bradex
ADRENALI-1696	Adrenalin Ethypharm
ADRENALI-1697	Adrenalin Evolan Pharma
ADRENALI-1698	Adrenalin Evolan Pharma Ab
ADRENALI-1699	Adrenalin Infectopharm
ADRENALI-1700	Adrenalin Léčiva
ADRENALI-1701	Adrenalin Martindale Pharma
ADRENALI-1702	Adrenalin Noridem
ADRENALI-1703	Adrenalin Pädia
ADRENALI-1704	Adrenalin Sad
ADRENALI-1705	Adrenalin Viatris
ADRENALI-1706	Adrenalina Accord
ADRENALI-1707	Adrenalina Aguettant
ADRENALI-1708	Adrenalina B. Braun
ADRENALI-1709	Adrenalina Basi
ADRENALI-1710	Adrenalina Bradex
ADRENALI-1711	Adrenalina Braun
ADRENALI-1712	Adrenalina Ethypharm
ADRENALI-1713	Adrenalina Galenica Senese
ADRENALI-1714	Adrenalina Hypericum
ADRENALI-1715	Adrenalina Labesfal
ADRENALI-1716	Adrenalina Level
ADRENALI-1717	Adrenalina Medlink
ADRENALI-1718	Adrenalina Monico
ADRENALI-1719	Adrenalina Noridem
ADRENALI-1720	Adrenalină Noridem
ADRENALI-1721	Adrenalina S.A.L.F.
ADRENALI-1722	Adrenalină Terapia
ADRENALI-1723	Adrenalina Wzf
ADRENALI-1724	Adrenaline (Epinephrine) Aurum Pharmaceuticals
ADRENALI-1725	Adrenaline (Epinephrine) For Anaphylaxis Aurum Pharmaceuticals
ADRENALI-1726	Adrenaline (Epinephrine) Laboratoire Aguettant
ADRENALI-1727	Adrenaline (Epinephrine) Martindale Pharma
ADRENALI-1728	Adrenaline (Epinephrine) Mercury Pharmaceuticals (Ireland) Ltd
ADRENALI-1729	Adrenaline (Epinephrine) Mercury Pharmaceuticals Limited
ADRENALI-1730	Adrenaline (Tartrate) Aguettant
ADRENALI-1731	Adrenaline (Tartrate) Bradex
ADRENALI-1732	Adrenaline (Tartrate) Sterop
ADRENALI-1733	Adrenaline Accord
ADRENALI-1734	Adrenaline Aguettant
ADRENALI-1735	Adrenaline Auxilia
ADRENALI-1736	Adrenaline Bradex
ADRENALI-1737	Adrenaline Cf
ADRENALI-1738	Adrenaline Demo
ADRENALI-1739	Adrenaline Demo Abee
ADRENALI-1740	Adrenaline Ethypharm
ADRENALI-1741	Adrenaline Injection Ariti
ADRENALI-1742	Adrenaline Laboratoire Aguettant
ADRENALI-1743	Adrenaline N.A.
ADRENALI-1744	Adrenaline Noridem
ADRENALI-1745	Adrenaline Renaudin
ADRENALI-1746	Adrenaline Sans Sulfite Aguettant
ADRENALI-1747	Adrenaline Sopharma
ADRENALI-1748	Adrenaline Sterop
ADRENALI-1749	Adrenaline Tartrate Aguettant
ADRENALI-1750	Adrenalinum Pph
ADRENALI-1751	Adrenalinе Sopharma
ADRENOST-1752	Adrenostazin
ADRESALF-1753	Adresalf
ADREVIEW-1754	Adreview
ADREVIEW-1755	Adreview (123i)
ADRIACEP-1756	Adriacept Blasen-Instillations-Set
ADRIAMYC-1757	Adriamycin
ADRIBLAS-1758	Adriblastin
ADRIBLAS-1759	Adriblastina
ADRIBLAS-1760	Adriblastina Ready To Use
ADRIBLAS-1761	Adriblastine
ADRIDE-1762	Adride
ADRIGYL-1763	Adrigyl
ADRIMAX-1764	Adrimax
ADRIMEDA-1765	Adrimedac
ADRISIN-1766	Adrisin
ADROIQ-1767	Adroiq
ADRONAT-1768	Adronat
ADRONIK-1769	Adronik
ADROTAN-1770	Adrotan
ADROVANC-1771	Adrovance
ADT-1772	Adt
ADTRALZA-1773	Adtralza
ADTREAT-1774	Adtreat
ADULAX-1775	Adulax
ADULTMEL-1776	Adult Meltus Chesty Coughs Sugar & Colour Free
ADUMBRAN-1777	Adumbran
ADUVANZ-1778	Aduvanz
ADUZIN-1779	Aduzin
ADVAGRAF-1780	Advagraf
ADVANTAN-1781	Advantan
ADVANTAN-1782	Advantan Milch
ADVANTAN-1783	Advantan Milk
ADVANTAN-1784	Advantan Mléko
ADVATE-1785	Advate
ADVECIT-1786	Advecit
ADVENTAN-1787	Adventan
ADVIL-1788	Advil
ADVILCOL-1789	Advil Cold
ADVILCOL-1790	Advil Cold & Flu
ADVILCOL-1791	Advil Cold & Flu Relief
ADVILCOL-1792	Advil Cold Rapid
ADVILDUO-1793	Advil Duo
ADVILFOR-1794	Advil Forte
ADVILLIQ-1795	Advil Liquid
ADVILREL-1796	Advil Reliva Forte Liquid Caps
ADVILREL-1797	Advil Reliva Forte Oval-Tabs
ADVILREL-1798	Advil Reliva Liquid-Caps
ADVILULT-1799	Advil Ultra
ADVILULT-1800	Advil Ultra Forte
ADVILCAP-1801	Advilcaps
ADVILMED-1802	Advilmed
ADVILMED-1803	Advilmed Enfants Et Nourrissons
ADVIOZGE-1804	Advioz Genus Pharmaceuticals Limited
ADVIOZGE-1805	Advioz Genus Pharmaceuticals Ltd
ADVZ-1806	Advz
ADYNOVI-1807	Adynovi
ADZYNMA-1808	Adzynma
AEDON-1809	Aedon
AELARDIS-1810	Aelardis
AELIORA-1811	Aeliora
AERMEDWE-1812	Aer Med. Westfalen
AERMEDIC-1813	Aer Medicalis
AERMEDIC-1814	Aer Medicinaal Westfalen
AERMEDIC-1815	Aer Medicinalis Linde
AERALIN-1816	Aeralin
AERFLU-1817	Aerflu
AERFLUAD-1818	Aerflu Adulti
AERFLUBA-1819	Aerflu Bambini
AERILUMA-1820	Aeriluma
AERINAZE-1821	Aerinaze
AERIONEA-1822	Aerion Easyhaler
AERIUS-1823	Aerius
AEROBEC-1824	Aerobec
AEROBECA-1825	Aerobec Autohaler
AEROCOL-1826	Aerocol
AEROCORT-1827	Aerocortin
AERODURT-1828	Aerodur Turbohaler
AEROFLAT-1829	Aeroflat
AEROGAL-1830	Aerogal
AEROLID-1831	Aerolid
AEROLIN-1832	Aerolin
AEROMAX-1833	Aeromax
AEROMEX-1834	Aeromex
AEROMUC-1835	Aeromuc
AERONATE-1836	Aeronate
AEROOM-1837	Aero-Om
AEROOMAN-1838	Aero-Om Antidiarreico
AEROOMAN-1839	Aero-Om Antidiarreico Rapid
AEROOMLA-1840	Aero-Om Laxante
AEROOMSE-1841	Aero-Om Sem Açúcar
AERORED-1842	Aero-Red
AEROREDF-1843	Aero-Red Forte
AEROX-1844	Aerox
